,159850_amont,159960_amont,161831_amont,510900_amont,159823_amont,159954_amont,160717_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2020-04-16,,0.0,,,,,,0.0,2203010705.2251496,0.0,
2020-04-17,,0.0,,,,,,0.0,2721379190.766641,0.0,0.0
2020-04-20,,0.0,,,,,,0.0,1417432937.4395952,0.0,0.0
2020-04-21,,0.0,,,,,,0.0,1869470454.5310783,0.0,0.0
2020-04-22,,0.0,,,,,,0.0,1448990755.3397014,0.0,0.0
2020-04-23,,0.0,,,,,,0.0,1581466097.5243428,0.0,0.0
2020-04-24,,0.0,,,,,,0.0,1185040418.0748665,0.0,0.0
2020-04-27,,-956000.0,,,,,,-956000.0,1467094918.2722576,-4.6840618872021005e-05,0.0
2020-04-28,,0.0,,,,,,0.0,1375401133.1612124,0.0,-4.6840618872021005e-05
2020-04-29,,0.0,,,,,,0.0,1387895470.8306994,0.0,0.0
2020-05-06,,0.0,,,,,,0.0,1803477228.9257627,0.0,0.0
2020-05-07,,-956000.0,,,,,,-956000.0,1223477167.4081843,-5.4913692145286426e-05,0.0
2020-05-08,,0.0,,,,,,0.0,1641052690.4148278,0.0,-5.4913692145286426e-05
2020-05-11,,0.0,,,,,,0.0,2343340537.873134,0.0,0.0
2020-05-12,,-966000.0,,,,,,-966000.0,1790670055.920128,-5.067508429327961e-05,0.0
2020-05-13,,0.0,,,,,,0.0,1817917579.7476745,0.0,-5.067508429327961e-05
2020-05-14,,-1904000.0,,,,,,-1904000.0,2452270893.109059,-8.770034688997453e-05,0.0
2020-05-15,,0.0,,,,,,0.0,1832744500.2519813,0.0,-8.770034688997453e-05
2020-05-18,,-954000.0,,,,,,-954000.0,1632256094.5259135,-5.7730813742011746e-05,0.0
2020-05-19,,0.0,,,,,,0.0,1938438068.2984767,0.0,-5.7730813742011746e-05
2020-05-20,,-970000.0,,,,,,-970000.0,1805510509.945849,-5.418024359701958e-05,0.0
2020-05-21,,-968000.0,,,,,,-968000.0,1690681629.3682158,-4.936638110516029e-05,-5.418024359701958e-05
2020-05-22,,-935000.0,,,,,,-935000.0,3250592215.0765886,-2.56373445340319e-05,-4.936638110516029e-05
2020-05-25,,0.0,,,,,,0.0,1688159527.4403012,0.0,-2.56373445340319e-05
2020-05-26,,0.0,,,,,,0.0,1341373631.3759167,0.0,0.0
2020-05-27,,0.0,,,,,,0.0,1758364441.7675915,0.0,0.0
2020-05-28,,-1896000.0,,,,,,-1896000.0,2261218016.7564473,-7.340309891765497e-05,0.0
2020-05-29,,-1890000.0,,,,,,-1890000.0,2784904030.8523097,-4.875318890883731e-05,-7.340309891765497e-05
2020-06-01,,-971000.0,,,,,,-971000.0,2225261295.9601965,-3.2183205724998865e-05,-4.875318890883731e-05
2020-06-02,,-3900000.0,,,,,,-3900000.0,1747500303.7254918,-0.00020026802124321053,-3.2183205724998865e-05
2020-06-03,,-980000.0,,,,,,-980000.0,2273341457.4788857,-3.4866348889963816e-05,-0.00020026802124321053
2020-06-04,,-3924000.0,,,,,,-3924000.0,1790408512.8979032,-0.00017584767505089962,-3.4866348889963816e-05
2020-06-05,,-1970000.0,,,,,,-1970000.0,2258086221.0129123,-8.026647825278111e-05,-0.00017584767505089962
2020-06-08,,0.0,,,,,,0.0,1834046528.428001,0.0,-8.026647825278111e-05
2020-06-09,,0.0,,,,,,0.0,1752276197.8866627,0.0,0.0
2020-06-10,,-996000.0,,,,,,-996000.0,2426645908.719457,-4.0055695883147e-05,0.0
2020-06-11,,-982000.0,,,,,,-982000.0,2128707150.402852,-4.4051798568212474e-05,-4.0055695883147e-05
2020-06-12,,0.0,,,,,,0.0,1566253698.9920995,0.0,-4.4051798568212474e-05
2020-06-15,,0.0,,,,,,0.0,1681759152.4973354,0.0,0.0
2020-06-16,,0.0,,,,,,0.0,1721065076.2607188,0.0,0.0
2020-06-17,,0.0,,,,,,0.0,1300878401.80042,0.0,0.0
2020-06-18,,0.0,,,,,,0.0,1614794116.1865563,0.0,0.0
2020-06-19,,0.0,,,,,,0.0,2210934985.52429,0.0,0.0
2020-06-22,,0.0,,,,,,0.0,2053542378.989103,0.0,0.0
2020-06-23,,0.0,,,,,,0.0,2356623547.7637153,0.0,0.0
2020-06-24,,0.0,,,,,,0.0,1831999938.1348987,0.0,0.0
2020-06-29,,0.0,,,,,,0.0,2063774811.6064928,0.0,0.0
2020-06-30,,0.0,,,,,,0.0,2121217104.3619995,0.0,0.0
2020-07-02,,0.0,,,,,,0.0,3373647593.865994,0.0,0.0
2020-07-03,,0.0,,,,,,0.0,2390399575.8502765,0.0,0.0
2020-07-06,,0.0,,,,,,0.0,4055041983.1540046,0.0,0.0
2020-07-07,,0.0,,,,,,0.0,3682972251.058537,0.0,0.0
2020-07-08,,3219000.0,,,,,,3219000.0,3090028850.0171423,9.287634104372607e-05,0.0
2020-07-09,,1067000.0,,,,,,1067000.0,2869293192.766642,3.465870523759184e-05,9.287634104372607e-05
2020-07-10,,2084000.0,,,,,,2084000.0,2639299593.7574334,7.628482600267093e-05,3.465870523759184e-05
2020-07-13,,0.0,,,,,,0.0,2232646899.4986005,0.0,7.628482600267093e-05
2020-07-14,,0.0,,,,,,0.0,2443667968.541213,0.0,0.0
2020-07-15,,0.0,,,,,,0.0,2225521155.62722,0.0,0.0
2020-07-16,,0.0,,,,,,0.0,2610009747.5336733,0.0,0.0
2020-07-17,,0.0,,,,,,0.0,1693335040.889295,0.0,0.0
2020-07-20,,0.0,,,,,,0.0,1720374300.9752815,0.0,0.0
2020-07-21,,0.0,,,,,,0.0,2833633984.2423487,0.0,0.0
2020-07-22,,0.0,,,,,,0.0,2272641765.405068,0.0,0.0
2020-07-23,,0.0,,,,,,0.0,2074636488.2044678,0.0,0.0
2020-07-24,,0.0,,,,,,0.0,2829171717.458344,0.0,0.0
2020-07-27,,0.0,,,,,,0.0,1786254071.2296362,0.0,0.0
2020-07-28,,0.0,,,,,,0.0,2023280338.3900821,0.0,0.0
2020-07-29,,-1010999.9999999999,,,,,,-1010999.9999999999,1279671741.7094212,-7.490343277207729e-05,0.0
2020-07-30,,0.0,,,,,,0.0,1633085988.6896682,0.0,-7.490343277207729e-05
2020-07-31,,0.0,,,,,,0.0,1675399636.1846392,0.0,0.0
2020-08-03,,0.0,,,,,,0.0,2016052986.6264215,0.0,0.0
2020-08-04,,1016999.9999999999,,,,,0.823,1017000.8229999999,2262230099.765702,4.275954694687792e-05,0.0
2020-08-05,,0.0,,,,,14998.351999999999,14998.351999999999,1686100028.9181838,8.821091651701197e-07,4.275954694687792e-05
2020-08-06,,1004000.0,,,,,0.0,1004000.0,2051561626.512723,5.083876862212266e-05,8.821091651701197e-07
2020-08-07,,0.0,,,,,9976.922,9976.922,4572166498.455303,4.914287340992406e-07,5.083876862212266e-05
2020-08-10,,0.0,,,,,0.0,0.0,3335416207.6436334,0.0,4.914287340992406e-07
2020-08-11,,0.0,,,,,0.0,0.0,2243060229.9229183,0.0,0.0
2020-08-12,,0.0,,,,,8710.951000000001,8710.951000000001,1775466632.3449187,4.756431927406721e-07,0.0
2020-08-13,,0.0,,,,,0.0,0.0,2312229673.1856513,0.0,4.756431927406721e-07
2020-08-14,,0.0,,,,,0.0,0.0,1567194251.567986,0.0,0.0
2020-08-17,,0.0,,,,,-93842.79999999999,-93842.79999999999,1900778177.5158515,-4.108208049266209e-06,0.0
2020-08-18,,0.0,,,,,-98449.2,-98449.2,1421333660.2244575,-5.834729606805786e-06,-4.108208049266209e-06
2020-08-19,,0.0,,,,,-22221.0,-22221.0,1138819010.0915508,-1.6883382351339423e-06,-5.834729606805786e-06
2020-08-20,,0.0,,,,,162.0,162.0,1593982719.3120403,7.585402383035822e-09,-1.6883382351339423e-06
2020-08-21,,2008000.0,,,,,0.0,2008000.0,1564255521.439938,0.00014143420859045628,7.585402383035822e-09
2020-08-24,,0.0,,,,,13931.8,13931.8,2323723250.191745,8.322415656510312e-07,0.00014143420859045628
2020-08-25,,0.0,,,,,0.0,0.0,1705554129.0934412,0.0,8.322415656510312e-07
2020-08-26,,0.0,,,,,0.0,0.0,1682484492.7910333,0.0,0.0
2020-08-27,,0.0,,,,,0.0,0.0,1853867572.4019086,0.0,0.0
2020-08-28,,0.0,,,,,-26357.1,-26357.1,2405117219.18824,-9.525611331808185e-07,0.0
2020-08-31,,0.0,,,,,0.0,0.0,2632026256.2567086,0.0,-9.525611331808185e-07
2020-09-01,,2934000.0,,,,,490.02200000000005,2934490.022,2106028267.502533,0.00011912501954835674,0.0
2020-09-02,,975000.0,,,,,0.0,975000.0,1889128862.2131608,3.440337148552596e-05,0.00011912501954835674
2020-09-03,,0.0,,,,,980.0490000000001,980.0490000000001,1893910909.637155,3.908287369302172e-08,3.440337148552596e-05
2020-09-04,,0.0,,,,,0.0,0.0,3276471291.5761595,0.0,3.908287369302172e-08
2020-09-07,,0.0,,,,,0.0,0.0,2958763728.972791,0.0,0.0
2020-09-08,,963000.0,,,,,0.0,963000.0,2718032014.876419,3.991579424883191e-05,0.0
2020-09-09,,0.0,,,,1846000.0,0.0,1846000.0,2261256278.1474905,8.347850669668625e-05,3.991579424883191e-05
2020-09-10,,0.0,,,,0.0,0.0,0.0,1771501390.9440923,0.0,8.347850669668625e-05
2020-09-11,,0.0,,,,927000.0,2478.4500000000003,929478.45,1650802073.8455343,5.584213637186239e-05,0.0
2020-09-14,,0.0,,,,0.0,0.0,0.0,1968328090.0965464,0.0,5.584213637186239e-05
2020-09-15,,0.0,,,,929000.0,0.0,929000.0,2154622937.8231516,4.841488831136735e-05,0.0
2020-09-16,,0.0,,,,0.0,13261.800000000001,13261.800000000001,1606479989.8411138,7.272752921550303e-07,4.841488831136735e-05
2020-09-17,,0.0,,,,0.0,0.0,0.0,1810253466.3696194,0.0,7.272752921550303e-07
2020-09-18,,0.0,,,,925000.0,0.0,925000.0,2741687794.007134,2.7357010806639352e-05,0.0
2020-09-21,,0.0,,,,0.0,0.0,0.0,1702669050.503903,0.0,2.7357010806639352e-05
2020-09-22,,0.0,,,,9966000.0,-68580.0,9897420.0,1542509736.9451487,0.0005231153359758722,0.0
2020-09-23,,-1874000.0,,,,903000.0,19626.516,-951373.484,1629101290.9968333,-4.733973830042719e-05,0.0005231153359758722
2020-09-24,,0.0,,,,891000.0,24239.32,915239.32,1975517044.2355225,3.6726942542057966e-05,-4.733973830042719e-05
2020-09-25,,0.0,,,,0.0,0.0,0.0,1667045550.7430768,0.0,3.6726942542057966e-05
2020-09-28,,0.0,,,,1778000.0,16682.712,1794682.712,1337775264.5700648,0.00010556463200379262,0.0
2020-09-29,,0.0,,,,884000.0,98538.146,982538.146,1518363909.3788242,4.596150412266358e-05,0.00010556463200379262
2020-09-30,,0.0,,,,0.0,0.0,0.0,1719328723.4048007,0.0,4.596150412266358e-05
2020-10-09,,0.0,,,,0.0,60688.122,60688.122,2087565047.461279,3.1811275951364563e-06,0.0
2020-10-12,,-950000.0,3397440.6,,,1842000.0,0.0,4289440.6,2658600404.5905633,0.0001389604127592068,3.1811275951364563e-06
2020-10-14,,0.0,3012951.924,,,0.0,4902.366,3017854.29,3336562369.066864,8.162964570263685e-05,0.0001389604127592068
2020-10-15,,0.0,8618412.6,,,0.0,0.0,8618412.6,2499643482.211602,0.0002993451791124942,8.162964570263685e-05
2020-10-16,,0.0,802604.3,,,0.0,976.788,803581.088,2173039379.401093,2.6463288063917816e-05,0.0002993451791124942
2020-10-19,,0.0,-246978.318,,,0.0,-6.966,-246985.28399999999,2727999732.774641,-7.622371952791625e-06,2.6463288063917816e-05
2020-10-20,,0.0,-3937106.224,,,0.0,0.0,-3937106.224,1911969236.3320403,-0.00015569022578545375,-7.622371952791625e-06
2020-10-21,,0.0,529594.4500000001,,,0.0,0.0,529594.4500000001,2011209417.5734031,1.8427680977656085e-05,-0.00015569022578545375
2020-10-22,,0.0,5980588.308,,,0.0,0.774,5980589.082,1985801314.7209916,0.0002084109285572947,1.8427680977656085e-05
2020-10-23,,0.0,-524233.302,,298141398.314,0.0,-64902.812,297552262.20000005,1811962710.8485827,0.011047227289181533,0.0002084109285572947
2020-10-27,,0.0,,,0.0,0.0,0.0,0.0,3165019800.190247,0.0,0.011047227289181533
2020-10-28,,0.0,0.0,,-3610799.9999999995,0.0,0.0,-3610799.9999999995,3468159874.968448,-0.00011580437043276357,0.0
2020-10-29,,0.0,1895759.1,,-11988000.0,0.0,-1542.0,-10093782.9,3368741315.3373513,-0.00031934487932035817,-0.00011580437043276357
2020-10-30,,0.0,-6245625.117,-1094000.0,-13537800.0,-1814000.0,0.0,-22691425.117,3582874059.1015778,-0.0006242206555116238,-0.00031934487932035817
2020-11-02,,-946000.0,-2531545.514,0.0,-5356800.0,0.0,-62505.131,-8896850.645,2511641674.8861275,-0.00029974505549685144,-0.0006242206555116238
2020-11-03,,0.0,2678750.2860000003,28149999.999999996,-4833599.999999999,0.0,0.0,25995150.286,2597133804.6787167,0.0008995379361273724,-0.00029974505549685144
2020-11-04,,0.0,4186629.524,-34080000.0,-14544000.0,-2829000.0,-101650.274,-47368020.74999999,4743244745.4439335,-0.0017538030095584564,0.0008995379361273724
2020-11-05,,0.0,-5267743.188,0.0,-618600.0,0.0,-19294.2,-5905637.388,4064818802.0158668,-0.00014738212678750548,-0.0017538030095584564
2020-11-06,,0.0,12009810.0,-34680000.0,-24839999.999999996,0.0,-11809.602,-47521999.602,3582353489.710927,-0.0014093492124397837,-0.00014738212678750548
2020-11-09,,0.0,1565760.0289999999,-105300000.0,-16961400.0,-1948000.0,-267387.4,-122911027.371,3295807285.74671,-0.003400381541765528,-0.0014093492124397837
2020-11-10,,-1002000.0,1418384.7999999998,0.0,-10567200.0,-6790000.0,-70666.409,-17011481.609,5595706000.875361,-0.0003842860244667706,-0.003400381541765528
2020-11-11,,0.0,-3041763.252,0.0,-10577400.0,-970000.0,-54454.196,-14643617.448,7722313941.083122,-0.00024404334085793803,-0.0003842860244667706
2020-11-12,,0.0,1920421.152,-2336000.0,-5616000.0,0.0,0.0,-6031578.848,4189916776.1542435,-0.00015139368489460933,-0.00024404334085793803
2020-11-13,,0.0,-7280186.94,0.0,-4963200.0,-3880000.0,-61615.988000000005,-16185002.928000001,3768123543.158045,-0.000479041417649172,-0.00015139368489460933
2020-11-16,,0.0,-704525.3280000001,-12738000.0,-8660400.0,-1940000.0,1029.112,-24041896.216000002,3173671486.10731,-0.0007901393911043011,-0.000479041417649172
2020-11-17,,-1002999.9999999999,-15450646.074000001,0.0,-6173999.999999999,-967000.0,-15.96,-23594662.034,3083776816.7693305,-0.0007505977307611677,-0.0007901393911043011
2020-11-18,,0.0,-4118250.24,-18512000.0,-2464800.0,-968000.0,-55051.100000000006,-26118101.340000004,2529943851.3799396,-0.0008040391489247954,-0.0007505977307611677
2020-11-19,,0.0,-1126082.1300000001,-5795000.0,-20930400.0,-3876000.0,-31800.0,-31759282.13,2639626615.6210785,-0.00099366154952572,-0.0008040391489247954
2020-11-20,,0.0,-675048.816,-1157000.0,0.0,0.0,0.0,-1832048.816,2485803861.1701617,-6.044683880036925e-05,-0.00099366154952572
2020-11-23,,-1008000.0,1230929.0189999999,0.0,-1861200.0,0.0,0.0,-1638270.9810000001,3276493431.2359586,-5.70285730264038e-05,-6.044683880036925e-05
2020-11-24,,-1002999.9999999999,6573936.418,-9320000.0,-3098999.9999999995,-2916000.0,0.0,-9764063.582,2832617414.623988,-0.0003716213647096656,-5.70285730264038e-05
2020-11-25,,0.0,-2338917.54,-11600000.0,-618000.0,-967000.0,-168000.0,-15691917.54,3305523730.859604,-0.0004304752146581504,-0.0003716213647096656
2020-11-26,,0.0,1126425.1679999998,0.0,0.0,0.0,0.0,1126425.1679999998,2180123791.2479954,4.792856667427656e-05,-0.0004304752146581504
2020-11-27,,0.0,2425121.28,-107835000.0,-6936600.0,-1980000.0,-17.052,-114326495.772,2377744776.308224,-0.0036981390645477105,4.792856667427656e-05
2020-11-30,,0.0,6085353.953000001,1167000.0,-4334400.0,0.0,-105848.0,2812105.9530000007,5265501669.9905,3.447604297222774e-05,-0.0036981390645477105
2020-12-01,,0.0,-9177276.743999999,0.0,0.0,0.0,-201667.912,-9378944.656,3638900164.219253,-0.0002267586787293883,3.447604297222774e-05
2020-12-02,,0.0,,0.0,-7387200.0,0.0,0.0,-7387200.0,4300255692.689738,-0.00023537705498673738,-0.0002267586787293883
2020-12-03,,0.0,23914921.84,0.0,-615000.0,-1936000.0,-99593.917,21264327.923,2851460694.7855787,0.0005674400959059165,-0.00023537705498673738
2020-12-04,,0.0,-694225.056,-1158000.0,-1232400.0,0.0,0.0,-3084625.056,3591898901.4776015,-6.523851937203411e-05,0.0005674400959059165
2020-12-07,,0.0,4901992.865,0.0,-6072000.0,-956000.0,-3698.9,-2129706.0349999997,2578773384.629761,-5.4041736543837585e-05,-6.523851937203411e-05
2020-12-08,,0.0,-8077859.232,0.0,0.0,0.0,-54342.176,-8132201.408,2248425890.300672,-0.00026407814245205444,-5.4041736543837585e-05
2020-12-09,,0.0,21509575.786000002,0.0,0.0,0.0,0.0,21509575.786000002,2402023473.5890493,0.0007018403025630959,-0.00026407814245205444
2020-12-10,,0.0,837464.03,0.0,-1209600.0,952000.0,0.0,579864.03,2014325120.0761409,2.2136039990327787e-05,0.0007018403025630959
2020-12-11,,0.0,-3419030.67,0.0,0.0,0.0,0.0,-3419030.67,2286533830.1392355,-0.00011232278137733072,2.2136039990327787e-05
2020-12-14,,0.0,-3980247.132,0.0,-604800.0,0.0,0.0,-4585047.132,3228043245.162625,-0.00014688015633871102,-0.00011232278137733072
2020-12-15,,0.0,1711175.301,0.0,0.0,0.0,-7830.0,1703345.301,3425090599.5926495,4.8762081132685577e-05,-0.00014688015633871102
2020-12-16,,0.0,3121487.718,-1140000.0,0.0,0.0,-1570.0,1979917.7179999999,2360532017.895817,6.846042156042117e-05,4.8762081132685577e-05
2020-12-17,,0.0,4335023.394,-1143000.0,-1216800.0,0.0,0.0,1975223.3940000003,2220654558.934324,5.9578520724341275e-05,6.846042156042117e-05
2020-12-18,,0.0,2384002.808,0.0,-1818000.0,0.0,-178216.15,387786.65800000017,3199762379.0058966,8.516354269772963e-06,5.9578520724341275e-05
2020-12-21,,0.0,1391545.8260000001,0.0,0.0,-1908000.0,-8567.4,-525021.5739999999,2265047636.2434855,-1.8549686720093444e-05,8.516354269772963e-06
2020-12-22,,-974000.0,1763698.8,0.0,0.0,0.0,-34934.130000000005,754764.67,1895946652.839665,2.8958434555858697e-05,-1.8549686720093444e-05
2020-12-23,,0.0,-27985459.712,1144000.0,-1214400.0,0.0,0.0,-28055859.712,2601806492.83767,-0.0009236541691226358,2.8958434555858697e-05
2020-12-24,,0.0,-2664126.096,0.0,0.0,0.0,-5917.914000000001,-2670044.01,2534149112.42565,-0.00014902508993392007,-0.0009236541691226358
2020-12-28,,0.0,-1013574.021,0.0,0.0,0.0,0.0,-1013574.021,5914714715.73797,-2.92065860833824e-05,-0.00014902508993392007
2020-12-29,,0.0,5921789.4,-102059999.99999999,1204800.0,0.0,0.0,-94933410.59999998,3591678555.905731,-0.003477969027280953,-2.92065860833824e-05
2020-12-30,,0.0,3427850.7,-214458000.0,0.0,-961000.0,-79.10000000000001,-211991228.4,3499801702.897109,-0.005793431166091135,-0.003477969027280953
2020-12-31,,0.0,18774732.96,-116299960.458,-3715200.0,0.0,-67800.78,-101308228.278,1994268705.2839687,-0.0037205874489194247,-0.005793431166091135
2021-01-04,,0.0,,-1155039.2700011015,0.0,-967000.0,-90925.74,-2212965.0100011015,3341049349.5328507,-5.7928110211580305e-05,-0.0037205874489194247
2021-01-05,,0.0,714585160.993,0.0,-4934400.0,-971000.0,0.0,708679760.993,3273828057.3282924,0.0180810297436858,-5.7928110211580305e-05
2021-01-06,,0.0,0.0,0.0,2479200.0,0.0,-154542.168,2324657.832,4088311574.974973,5.404379367961945e-05,0.0180810297436858
2021-01-07,,0.0,-32095067.042,-1158000.0,-3072000.0,0.0,-292341.194,-36617408.235999994,5107941636.163001,-0.0007931951950621143,5.404379367961945e-05
2021-01-08,,0.0,-9890104.32,0.0,0.0,-988000.0,-42122.656,-10920226.976,5207683509.701619,-0.00019726978293243953,-0.0007931951950621143
2021-01-11,,0.0,-1924884.808,-119200000.0,-2520000.0,0.0,-18732.199999999997,-123663617.008,5465808999.229884,-0.002211240278937607,-0.00019726978293243953
2021-01-12,,0.0,-142534620.29999998,0.0,0.0,-5050000.0,-116053.0,-147700673.29999998,3746279128.7437763,-0.0031214957380773897,-0.002211240278937607
2021-01-13,,4196000.0,-41202987.525,0.0,-1909800.0,-2017999.9999999998,-32418.631999999998,-40967206.157,3523647118.9269753,-0.0009725463553421584,-0.0031214957380773897
2021-01-14,,1062000.0,-29710567.428,0.0,0.0,-1016999.9999999999,-37486.666,-29703054.094,4706497365.056724,-0.0006386136967847642,-0.0009725463553421584
2021-01-15,,1063000.0,-27877493.5,-2440000.0,0.0,1024000.0,-30024.0,-28260517.5,6164821245.688543,-0.0004991706605270807,-0.0006386136967847642
2021-01-18,,3252000.0,-13271446.791,0.0,15840000.000000002,0.0,-108290.75,5712262.459000003,5057704098.989895,0.00013044393963961972,-0.0004991706605270807
2021-01-19,,4504000.0,-23522733.728,0.0,15414600.0,3207000.0,-74306.1,-471439.8280000001,5572074089.131009,-6.3833681586875236e-06,0.00013044393963961972
2021-01-20,,11170000.0,-30513449.379999995,644910000.0000012,55015199.99999999,61617000.0,5340659.87,747539410.4900012,6745727422.867768,0.011253962738516317,-6.3833681586875236e-06
2021-01-21,,6684000.000000001,-650643.0,585782000.0,-1350000.0,43993000.0,69603095.055,704061452.0550001,4933177315.798754,0.01277934395402976,0.011253962738516317
2021-01-22,,2188000.0,-5338815.32,27896000.0,-6666000.0,0.0,3308595.697,21387780.377,4900123285.545707,0.00038439208447523594,0.01277934395402976
